Coord_x,Coord_y,ISOS_z,ISOS_Size_x,ISOS_Size_y,COST_z,COST_Size_x,COST_Size_y,"Cone_Type(L=1;M=2;S=3; Undertermined=4, can ignore)"
95,59,31.01103007,8.350658651,9.869207745,59.17619792,10.42325204,9.187049483,1
95,202,30.99134465,9.448119498,10.4655173,58.06874353,15.58766582,11.69000318,1
95,241,31.97782504,7.567330928,8.379213019,59.41241258,9.694470319,10.16934666,1
95,270,31.38814075,7.756531478,10.89899449,58.16951408,11.38825007,14.78272587,1
96,101,31.43223938,14.67034456,8.502174915,60.00779702,16.36844566,8.439659308,1
96,128,35.29646629,16.49366833,14.01757733,60.2604618,9.814063708,10.78191405,3
96,276,32.19408268,7.569807827,9.755765119,57.40100808,8.345434721,9.230595108,1
97,17,30.17477083,8.257800172,9.068384749,57.34188395,13.60719245,11.74085973,1
97,34,31.8175579,8.856494203,9.363906138,59.33036164,8.254150939,8.37054094,1
98,45,31.2327208,9.91911918,10.11023728,59.70650983,11.7940035,14.82159872,1
98,93,31.77858458,9.901386373,9.249034097,60.44270113,11.04459739,7.859332956,1
98,114,30.42622704,8.422022865,10.35880558,60.01520981,9.516145978,11.09014627,1
98,231,32.14484195,6.819138235,8.444739134,58.22923163,10.7527665,9.465210803,1
99,135,31.48089311,10.59920385,8.549043784,58.99579316,13.909823,14.13926241,1
99,289,33.53407728,7.807553753,8.303085458,58.2892416,8.29533935,9.421880631,1
100,6,30.03582598,12.45062741,13.17809619,60.3494926,9.376162232,9.463784567,1
100,66,30.81549104,12.54098124,13.77307213,58.96231243,10.87573886,10.42832611,1
100,191,31.5939581,16.9139963,12.34311932,57.60494183,11.89349433,11.29469433,1
100,210,31.22638398,9.086607409,9.507373524,59.30872502,9.68740957,9.887091993,1
100,260,32.01988244,9.989011434,8.763118993,59.98940686,9.779741547,9.681892109,1
101,76,31.48335222,7.493540394,7.856764668,58.09118889,9.003468382,10.54208656,1
101,249,34.36675774,7.567373402,7.884550665,61.24649923,9.987945511,10.75549718,1
102,141,32.05975634,7.621904077,11.02611118,59.73213986,7.032468165,8.212962276,1
102,240,32.55865241,8.858518836,9.400304504,60.08910529,8.194393674,8.386282046,1
103,201,31.85367372,8.338634173,8.231927328,58.24470231,7.822999183,7.669949727,1
103,270,32.39529028,7.938926455,7.921668442,60.53982451,12.07846457,8.244087093,1
103,281,30.96095209,8.026992358,8.878238301,56.40465749,10.99899585,11.11637491,1
104,41,30.63332086,7.978829487,9.466613143,57.04639704,11.01572007,9.908103937,1
104,216,31.537137,9.56224354,11.16910405,58.45536094,9.327484996,8.437514096,1
105,8,30.55815895,10.73650521,8.777945984,60.44018599,14.79012227,8.837603327,1
105,148,30.38998185,7.060019469,9.701626098,55.41266383,7.993779812,9.798218907,1
105,169,33.32867381,7.074848297,9.592174564,61.47353587,18.13153639,9.82808322,1
105,228,32.86347346,7.424226808,9.727961817,60.2126548,7.453760243,8.297922242,1
106,17,29.09409673,10.81823748,11.85216067,57.75245076,10.12506419,9.354850286,1
106,64,33.34892602,7.869736104,9.349092269,60.64168234,9.773542172,10.93868266,1
106,82,31.11890841,9.413954521,19.95496362,60.00133605,8.637209238,8.568922576,1
106,257,32.09776244,13.60970639,17.14597983,58.33235765,8.630044631,10.67591304,1
107,137,31.89414493,9.683111272,16.79028652,60.09635449,8.680326658,10.390022,1
107,209,32.72207523,8.9771195,9.658609387,58.5198983,10.17934087,8.584181307,1
108,25,30.31453994,15.10530734,19.06083899,58.66473141,10.19954081,10.01592482,1
108,50,34.04961234,10.67932497,12.38541625,61.67776275,17.55543283,10.94873101,1
108,127,30.16080222,7.530415416,9.232615437,57.30978447,8.674450304,8.495362428,1
108,160,30.89541218,11.80110254,12.34318741,56.90762879,8.474616813,8.62967202,1
109,100,34.9944763,6.521130797,7.766223954,52.74257426,12.43956271,9.432905658,3
109,187,31.68611779,7.321105893,11.63706745,58.72027165,8.015446914,9.883481859,1
109,234,32.26464728,8.644848496,7.431017887,58.74273738,8.899257563,10.39070763,1
109,244,33.36408359,6.48990835,9.625268439,60.6193471,8.251223305,11.37566434,1
110,75,31.63852515,8.795584673,10.50779123,60.24309723,11.55930392,10.49634771,1
111,199,32.29595376,6.59523453,8.413143786,59.64923783,7.435475424,9.301611676,1
111,267,32.89432205,8.685719414,8.669399742,58.49626733,10.62012321,8.795779438,1
111,275,31.86969142,8.244229064,10.14820226,57.53979605,8.21708065,8.545937511,1
112,19,29.83350296,9.539296047,9.819949994,57.63358962,10.82586926,8.892274206,1
112,142,32.66798881,7.80647784,7.977609879,58.90793331,9.350703731,9.911527073,1
112,257,32.81132733,12.08049881,14.64366026,61.39354694,8.933022657,9.258928964,1
113,179,32.66805012,7.763999122,8.74205782,57.5262478,6.915045853,8.510423446,1
114,92,31.09690941,7.407081963,8.051488879,57.72350339,11.69009079,10.64464684,1
114,111,32.47298609,6.436826369,8.541394542,59.44279852,7.379614617,12.07273065,1
114,158,33.2479792,9.884913869,10.87318103,60.95535039,9.057783089,8.849551018,1
